agent,difficulty,trials,win_rate,caught_rate,mean_score,mean_decisions,mean_backtracks,mean_performance,stdev_performance
table_driven,hard,30,0.0,1.0,70.0,9.23,1.0,-933.85,0.09
simple_reflex,hard,30,0.0,1.0,143.33,14.97,0.2,-860.06,128.63
model_based,hard,30,0.0,1.0,578.0,59.0,0.43,-434.67,54.74
goal_based,hard,30,0.233,0.767,682.0,71.43,6.9,353.91,1494.56
utility_based,hard,30,0.067,0.933,579.33,63.23,5.17,-243.65,871.84
learning,hard,30,0.0,1.0,650.0,55.83,8.5,-378.17,309.44
greedy,hard,30,0.033,0.967,161.67,14.9,0.4,-742.11,758.66
random,hard,30,0.0,1.0,131.33,21.9,6.2,-885.45,8.87
